Format:  EMData_1.1 
!mode:   DET
!rotation_angle = 0.00
# Transmitters: 1
0 0 0 0 0 
# Frequencies:   59
   +1.040001e+04
   +8.799998e+03
   +7.200000e+03
   +6.000000e+03
   +5.200001e+03
   +4.400000e+03
   +3.600000e+03
   +3.000001e+03
   +2.600000e+03
   +2.200000e+03
   +1.800000e+03
   +1.500000e+03
   +1.300000e+03
   +1.100000e+03
   +8.999999e+02
   +7.800000e+02
   +6.400001e+02
   +5.299999e+02
   +4.600000e+02
   +3.900001e+02
   +3.200001e+02
   +2.650000e+02
   +2.290000e+02
   +1.940000e+02
   +1.590000e+02
   +1.320000e+02
   +1.150000e+02
   +9.699999e+01
   +7.900001e+01
   +6.600000e+01
   +5.700000e+01
   +4.900000e+01
   +4.000000e+01
   +3.300000e+01
   +2.750000e+01
   +2.250000e+01
   +1.880000e+01
   +1.620000e+01
   +1.370000e+01
   +1.120000e+01
   +9.400000e+00
   +8.100000e+00
   +6.900000e+00
   +5.600000e+00
   +4.700000e+00
   +4.100000e+00
   +3.400000e+00
   +2.810000e+00
   +2.340000e+00
   +2.030000e+00
   +1.720000e+00
   +1.410000e+00
   +1.170000e+00
   +1.020000e+00
   +8.600000e-01
   +7.000000e-01
   +5.900000e-01
   +5.100000e-01
   +4.300000e-01
# Receivers: 1 
0 0 0 0 0 0 
# Data:      118
!Type      Freq#      TX#      Rx#      Data      Std_Error
RhoZxy      1      0      1      +1.154872e+01      +4.619487e-01
PhsZxy      1      0      1      +4.584765e+01      +2.000000e+00
RhoZxy      2      0      1      +1.280495e+01      +5.121979e-01
PhsZxy      2      0      1      +4.486261e+01      +2.000000e+00
RhoZxy      3      0      1      +1.306816e+01      +5.227265e-01
PhsZxy      3      0      1      +4.512662e+01      +2.000000e+00
RhoZxy      4      0      1      +1.297571e+01      +5.190283e-01
PhsZxy      4      0      1      +4.449619e+01      +2.000000e+00
RhoZxy      5      0      1      +1.313040e+01      +5.252161e-01
PhsZxy      5      0      1      +4.432367e+01      +2.000000e+00
RhoZxy      6      0      1      +1.329576e+01      +5.318306e-01
PhsZxy      6      0      1      +4.310376e+01      +2.000000e+00
RhoZxy      7      0      1      +1.328890e+01      +5.315559e-01
PhsZxy      7      0      1      +4.228930e+01      +2.000000e+00
RhoZxy      8      0      1      +1.331915e+01      +5.327658e-01
PhsZxy      8      0      1      +4.143336e+01      +2.000000e+00
RhoZxy      9      0      1      +1.341603e+01      +5.366414e-01
PhsZxy      9      0      1      +4.085476e+01      +2.000000e+00
RhoZxy      10      0      1      +1.353137e+01      +5.412548e-01
PhsZxy      10      0      1      +4.004676e+01      +2.000000e+00
RhoZxy      11      0      1      +1.438944e+01      +5.755776e-01
PhsZxy      11      0      1      +3.967832e+01      +2.000000e+00
RhoZxy      12      0      1      +1.587695e+01      +6.350779e-01
PhsZxy      12      0      1      +3.823771e+01      +2.000000e+00
RhoZxy      13      0      1      +1.498933e+01      +5.995731e-01
PhsZxy      13      0      1      +3.666808e+01      +2.000000e+00
RhoZxy      14      0      1      +1.528428e+01      +6.113713e-01
PhsZxy      14      0      1      +3.638183e+01      +2.000000e+00
RhoZxy      15      0      1      +1.577545e+01      +6.310180e-01
PhsZxy      15      0      1      +3.577581e+01      +2.000000e+00
RhoZxy      16      0      1      +1.637745e+01      +6.550981e-01
PhsZxy      16      0      1      +3.633664e+01      +2.000000e+00
RhoZxy      17      0      1      +1.729779e+01      +6.919117e-01
PhsZxy      17      0      1      +3.611708e+01      +2.000000e+00
RhoZxy      18      0      1      +1.845417e+01      +7.381668e-01
PhsZxy      18      0      1      +3.612864e+01      +2.000000e+00
RhoZxy      19      0      1      +1.907949e+01      +7.631797e-01
PhsZxy      19      0      1      +3.630036e+01      +2.000000e+00
RhoZxy      20      0      1      +1.979610e+01      +7.918441e-01
PhsZxy      20      0      1      +3.665723e+01      +2.000000e+00
RhoZxy      21      0      1      +2.039238e+01      +8.156954e-01
PhsZxy      21      0      1      +3.713028e+01      +2.000000e+00
RhoZxy      22      0      1      +2.109030e+01      +8.436119e-01
PhsZxy      22      0      1      +3.758016e+01      +2.000000e+00
RhoZxy      23      0      1      +2.114106e+01      +8.456426e-01
PhsZxy      23      0      1      +3.775219e+01      +2.000000e+00
RhoZxy      24      0      1      +2.113308e+01      +8.453233e-01
PhsZxy      24      0      1      +3.772356e+01      +2.000000e+00
RhoZxy      25      0      1      +2.138941e+01      +8.555764e-01
PhsZxy      25      0      1      +3.737587e+01      +2.000000e+00
RhoZxy      26      0      1      +2.128192e+01      +8.512767e-01
PhsZxy      26      0      1      +3.653188e+01      +2.000000e+00
RhoZxy      27      0      1      +2.127850e+01      +8.511400e-01
PhsZxy      27      0      1      +3.569929e+01      +2.000000e+00
RhoZxy      28      0      1      +2.124795e+01      +8.499179e-01
PhsZxy      28      0      1      +3.410551e+01      +2.000000e+00
RhoZxy      29      0      1      +2.207781e+01      +8.831124e-01
PhsZxy      29      0      1      +3.200889e+01      +2.000000e+00
RhoZxy      30      0      1      +2.289624e+01      +9.158495e-01
PhsZxy      30      0      1      +2.977523e+01      +2.000000e+00
RhoZxy      31      0      1      +2.403417e+01      +9.613669e-01
PhsZxy      31      0      1      +2.786347e+01      +2.000000e+00
RhoZxy      32      0      1      +2.466697e+01      +9.866789e-01
PhsZxy      32      0      1      +2.487939e+01      +2.000000e+00
RhoZxy      33      0      1      +2.772409e+01      +1.108964e+00
PhsZxy      33      0      1      +2.253448e+01      +2.000000e+00
RhoZxy      34      0      1      +3.107509e+01      +1.243003e+00
PhsZxy      34      0      1      +2.014953e+01      +2.000000e+00
RhoZxy      35      0      1      +3.521417e+01      +1.408567e+00
PhsZxy      35      0      1      +1.821338e+01      +2.000000e+00
RhoZxy      36      0      1      +4.086162e+01      +1.634465e+00
PhsZxy      36      0      1      +1.607792e+01      +2.000000e+00
RhoZxy      37      0      1      +4.743919e+01      +1.897568e+00
PhsZxy      37      0      1      +1.481562e+01      +2.000000e+00
RhoZxy      38      0      1      +5.333578e+01      +2.133431e+00
PhsZxy      38      0      1      +1.385426e+01      +2.000000e+00
RhoZxy      39      0      1      +6.222839e+01      +2.489136e+00
PhsZxy      39      0      1      +1.293339e+01      +2.000000e+00
RhoZxy      40      0      1      +7.250396e+01      +2.900158e+00
PhsZxy      40      0      1      +1.339214e+01      +2.000000e+00
RhoZxy      41      0      1      +8.588020e+01      +3.435208e+00
PhsZxy      41      0      1      +1.259349e+01      +2.000000e+00
RhoZxy      42      0      1      +9.787491e+01      +3.914996e+00
PhsZxy      42      0      1      +1.189491e+01      +2.000000e+00
RhoZxy      43      0      1      +1.116916e+02      +4.467665e+00
PhsZxy      43      0      1      +1.251137e+01      +2.000000e+00
RhoZxy      44      0      1      +1.270539e+02      +5.082156e+00
PhsZxy      44      0      1      +1.237105e+01      +2.000000e+00
RhoZxy      45      0      1      +1.303425e+02      +5.213700e+00
PhsZxy      45      0      1      +1.266793e+01      +2.000000e+00
RhoZxy      46      0      1      +1.532832e+02      +6.131330e+00
PhsZxy      46      0      1      +1.357799e+01      +2.000000e+00
RhoZxy      47      0      1      +1.708473e+02      +6.833891e+00
PhsZxy      47      0      1      +1.365555e+01      +2.000000e+00
RhoZxy      48      0      1      +1.730486e+02      +6.921945e+00
PhsZxy      48      0      1      +1.482098e+01      +2.000000e+00
RhoZxy      49      0      1      +1.759923e+02      +7.039694e+00
PhsZxy      49      0      1      +1.640752e+01      +2.000000e+00
RhoZxy      50      0      1      +1.885247e+02      +7.540987e+00
PhsZxy      50      0      1      +1.756633e+01      +2.000000e+00
RhoZxy      51      0      1      +2.043603e+02      +8.174412e+00
PhsZxy      51      0      1      +1.734733e+01      +2.000000e+00
